id;calle3;numero;depto_normal;manzana_normal;lote_normal
342932;MANUEL LEZCANO M: C;S/N;C:5;;
342933;RUTA 3 KM 12;S/N;;;
342934;B° MANUEL LEZCANO M:;S/N;D C:7;;
342935;544 VIVIENDAS MZA F;S/N;C:21;;
342936;B° J.F.BOGADO MZ.LL CS.7;S/N;;;
342937;B° 200 VIV.MUNICIPAL M:B;S/N;C:21;;
342938;B° JARDIN DEL SUR;S/N;G C13;;
342939;B° M.LEZCANO MZ.G CS.8;S/N;;MZ.G;
342940;B° J.F.BOGADO MZ.K CS.6;S/N;;;
342941;B° M.TORO MZ.Q C.14;S/N;;;
342942;B° EL HORNERO MZ.E CS.2;S/N;;MZ.E;
342943;B° J.F.BOGADO MZ.C CS.23;S/N;;MZ.C;
342944;B° L.RODRIGUEZ MZ.G CS.4;S/N;;MZ.G;
342945;Bø J.DEL SUR M:;S/N;D C:1;;
342946;B° 144 VIV. M:;S/N;C C16;;
342947;B° 500 VIV SUR M;S/N;161C6;;
342948;B° J.F.BOGADO MZ.O C.36;S/N;;;
342949;B°L.RODRIGUEZ MZ.H C.14;S/N;;MZ.H;
342950;Bø PUCARA;S/N;BC:12;;
342951;B° JARDIN DEL SUR MZ.B CS;S/N;23;MZ.B;
342952;B° FELIX BOGADO M:C;S/N;C:07;;
342953;B° M.TORO MZ.I CS.20;S/N;;MZ.I;
342954;B°EL LINCE MZ.18 CS.22;S/N;;;
342955;Bø M.TORO MZ.L CS.2;S/N;;;
342956;SAN LUIS 26 MZ:3 CS:17;S/N;;;
342957;B°EL HORNERO MZ.I C.12;S/N;;MZ.I;
342958;B°EL LINCE M:30 C:5;S/N;;;
342959;B° FELIX BOGADO M:C;S/N;C:14;;
342960;B° J.DEL SUR MZ.G CS.6;S/N;;MZ.G;
342961;B° LUCAS RODRIGUEZ M: Z;S/N;C:13;;
342962;B°S.LUIS XV MZ.H C.26;S/N;;MZ.H;
342963;B° M.LEZCANO MZ.M CS.22;S/N;;;
342964;BøEL LINCE M:40 C:9;S/N;;;
342965;B° J. DE DIOS GARRO M:F6;S/N;C:15;;
342966;B°J.DEL SUR MZ.E C.20;S/N;;MZ.E;
342967;LUCAS RODRIGUEZ MZ G;S/N;C:22;;
342968;B° SAN LUIS XV MZ.Ñ CS.19;S/N;;;
342969;B° 544 MZ.E C.22;S/N;;MZ E;
342970;B° JARDIN SUR MZ.H C.17;S/N;;MZ.H;
342971;B° L.RODRIGUEZ MZ.Z C.5;S/N;;;
342972;B°L.RODRIGUEZ MZ.S C.12;S/N;;;
342973;B° EL LINCE MZ.26 C.22;S/N;;;
342974;B° M.LEZCANO MZ.C CS.10;S/N;;MZ.C;
342975;B° S.LUIS 15 M:L C:20;S/N;;;
342976;B° L.RODRIGUEZ M:P;S/N;C:19;;
342977;B° M.TORO MZ.Q C.3;S/N;;;
342978;Bø109 VDAS MZ.C CS.9;S/N;;MZ.C;
342979;Bø109 VIV.MZ:;S/N;FC:18;;
342980;B° J.F.BOGADO M:K C:14;S/N;;;
342981;B° LUCAS RODRIGUEZ- MZ F;S/N;C 5;;
342982;B° EL LINCE MZ.24 CS.16;S/N;;;
342983;B° EL LINCE M:40 C:29;S/N;;;
342984;B°S.LUIS 15 MZ.K C.18;S/N;;;
342985;B°PUCARA M.E C.1;S/N;;;
342986;Bø PUCARA MZ.A C.25;S/N;;MZ.A;
342987;B° EL HORNERO M:H;S/N;C: 18;;
342988;B° PUCARA MZ.F CS.1;S/N;;MZ.F;
342989;B°F.BOGADO MZ:;S/N;K C:4;;
342990;B° J.F.BOGADO M:E C:3;S/N;;;
342991;B°EL LINCE MZ.31 C.5;S/N;;;
342992;B°EL HORNERO M:;S/N;I C19;;
342993;Bø EL LINCE-M.25-C.17-;S/N;;;
342994;B° SAN LUIS XV(15) MZ.C C;S/N;CS.22;MZ.C;
342995;B° ESTRELLA DEL SUR MZ:E;S/N;C:76;;
342996;B° 110 VIV. MZ.194 CS.1;S/N;;;
342997;B° EL LINCE MZ.20 CS.19;S/N;;;
342998;B° SAN LUIS 23 MZA.;S/N;A C.3;;
342999;B° L.RODRIGUEZ MZ.C CS.13;S/N;;MZ.C;
343000;Bø 544 VIV.M:;S/N;D C20;;
343001;B° E.DEL SUR M:;S/N;C C40;;
343002;B° J.F.BOGADO MZ.H CS.13;S/N;;MZ.H;
343003;B° M.TORO MZ.P CS.2;S/N;;;
343004;B° J.DE DIOS GARRO M:Ñ;S/N;C:23;;
343005;B° SAN LUIS XV(15) MZA G;S/N;C:18;;
343006;B°PUCARA MZ.A CS.31;S/N;;MZ.A;
343007;B° JARDIN DEL SUR MZ.D;S/N;C:15;MZ.D;
343008;B° EL LINCE MZ:19 CS:2;S/N;;;
343009;B° L.RODRIGUEZ MZ.W CS.3;S/N;;;
343010;Bø SAN LUIS 15 M:;S/N;F C:5;;
343011;B° EL LINCE MZ.19 C.22;S/N;;;
343012;B° PUCARA MZ.B C.14;S/N;;MZ.B;
343013;B° J.DE DIOS GARRO;S/N;N C:2;;
343014;B° M.LEZCANO MZ.A CS.10;S/N;;MZ.A;
343015;B°EL LINCE MZ.15 C.12;S/N;;;
343016;B° EL HORNERO MZ:A CS:9;S/N;;;
343017;B° E.DEL SUR MZ:E CS:74;S/N;;;
343018;B° EL LINCE MZ.40 CS.31;S/N;;;
343019;B° EL LINCE MZ.23 CS.19;S/N;;;
343020;BøEL LINCE MZ.36 C.4;S/N;;;
343021;B° EL LINCE MZ.26 CS.1;S/N;;;
343022;B° M.TIBILETTI;S/N;;;
343023;B° M.LEZCANO MZ.I C.13;S/N;;MZ.I;
343024;B° EL LINCE M:36 C:5;S/N;;;
